client_id,from_tier,to_tier,change_date,direction
CLI-005494,Gold,Diamond,2025-02-16,upgrade
CLI-006107,Blue,Bronze,2025-10-27,upgrade
CLI-002686,Gold,Silver,2024-12-09,downgrade
CLI-000291,Diamond,Gold,2025-06-22,downgrade
CLI-005158,Silver,Gold,2025-04-25,upgrade
CLI-005946,Blue,Bronze,2024-10-16,upgrade
CLI-006233,Silver,Gold,2025-04-05,upgrade
CLI-003806,Blue,Blue,2024-10-31,downgrade
CLI-002979,Bronze,Silver,2026-03-14,upgrade
CLI-001979,Bronze,Blue,2025-09-30,downgrade
CLI-000550,Blue,Bronze,2025-04-20,upgrade
CLI-002513,Bronze,Blue,2025-05-12,downgrade
CLI-005274,Gold,Silver,2026-06-18,downgrade
CLI-005857,Bronze,Silver,2025-06-09,upgrade
CLI-001198,Bronze,Blue,2025-08-05,downgrade
CLI-001108,Silver,Gold,2025-07-19,upgrade
CLI-000518,Blue,Bronze,2024-12-27,upgrade
CLI-000933,Blue,Blue,2025-11-10,downgrade
CLI-005745,Bronze,Blue,2024-06-21,downgrade
CLI-003598,Blue,Bronze,2025-01-22,upgrade
CLI-002299,Blue,Bronze,2025-07-02,upgrade
CLI-004009,Blue,Bronze,2025-05-25,upgrade
CLI-001803,Gold,Silver,2024-12-17,downgrade
CLI-002632,Gold,Silver,2025-07-15,downgrade
CLI-005534,Diamond,Diamond,2026-01-19,upgrade
CLI-004188,Silver,Gold,2026-02-08,upgrade
CLI-000916,Gold,Diamond,2025-09-24,upgrade
CLI-000418,Gold,Diamond,2025-11-16,upgrade
CLI-002770,Blue,Bronze,2025-08-31,upgrade
CLI-006012,Bronze,Blue,2025-09-08,downgrade
CLI-002580,Bronze,Silver,2025-01-30,upgrade
CLI-000889,Gold,Diamond,2024-10-26,upgrade
CLI-003386,Silver,Bronze,2024-11-14,downgrade
CLI-004251,Silver,Gold,2024-07-27,upgrade
CLI-004216,Blue,Bronze,2025-01-28,upgrade
CLI-005104,Silver,Gold,2025-08-27,upgrade
CLI-000452,Bronze,Silver,2024-07-12,upgrade
CLI-002297,Diamond,Diamond,2025-05-05,upgrade
CLI-002996,Diamond,Diamond,2024-09-14,upgrade
CLI-005063,Bronze,Silver,2026-04-18,upgrade
CLI-003852,Bronze,Silver,2025-05-15,upgrade
CLI-005978,Blue,Bronze,2024-07-25,upgrade
CLI-005712,Bronze,Silver,2025-09-02,upgrade
CLI-001980,Bronze,Blue,2025-07-14,downgrade
CLI-000178,Gold,Silver,2025-05-21,downgrade
CLI-001747,Blue,Blue,2025-08-06,downgrade
CLI-002893,Diamond,Gold,2025-05-29,downgrade
CLI-003211,Bronze,Silver,2026-04-17,upgrade
CLI-003648,Gold,Silver,2026-04-22,downgrade
CLI-006011,Blue,Blue,2025-06-21,downgrade
CLI-001532,Gold,Diamond,2025-07-28,upgrade
CLI-002039,Bronze,Silver,2025-01-28,upgrade
CLI-002329,Silver,Bronze,2025-07-09,downgrade
CLI-004349,Blue,Bronze,2025-04-15,upgrade
CLI-002124,Bronze,Silver,2025-08-29,upgrade
CLI-001070,Blue,Bronze,2024-08-11,upgrade
CLI-003454,Bronze,Blue,2025-09-15,downgrade
CLI-000104,Blue,Blue,2024-07-11,downgrade
CLI-001218,Bronze,Silver,2025-11-23,upgrade
CLI-001007,Silver,Bronze,2025-05-16,downgrade
CLI-004850,Gold,Silver,2024-09-24,downgrade
CLI-006370,Bronze,Blue,2025-11-09,downgrade
CLI-005173,Gold,Diamond,2024-10-04,upgrade
CLI-006020,Silver,Gold,2025-04-16,upgrade
CLI-005393,Gold,Silver,2026-01-01,downgrade
CLI-005366,Bronze,Silver,2024-10-21,upgrade
CLI-004624,Silver,Bronze,2026-04-06,downgrade
CLI-001281,Blue,Bronze,2025-07-08,upgrade
CLI-000341,Bronze,Blue,2025-03-30,downgrade
CLI-002372,Bronze,Blue,2024-11-27,downgrade
CLI-001468,Silver,Gold,2025-08-13,upgrade
CLI-005299,Bronze,Blue,2025-12-04,downgrade
CLI-003456,Bronze,Blue,2025-04-16,downgrade
CLI-006418,Blue,Bronze,2025-11-19,upgrade
CLI-001968,Blue,Blue,2025-01-14,downgrade
CLI-002981,Gold,Silver,2025-03-04,downgrade
CLI-002259,Bronze,Blue,2025-09-12,downgrade
CLI-003802,Blue,Bronze,2025-12-15,upgrade
CLI-005190,Bronze,Silver,2024-10-19,upgrade
CLI-006214,Blue,Blue,2024-07-09,downgrade
CLI-001345,Blue,Blue,2024-08-13,downgrade
CLI-005975,Silver,Bronze,2026-01-15,downgrade
CLI-004940,Blue,Bronze,2026-03-27,upgrade
CLI-006380,Gold,Silver,2024-10-20,downgrade
CLI-001692,Bronze,Blue,2025-01-02,downgrade
CLI-000877,Diamond,Gold,2025-08-31,downgrade
CLI-006028,Blue,Blue,2025-06-08,downgrade
CLI-000733,Bronze,Silver,2024-09-04,upgrade
CLI-006124,Gold,Diamond,2024-12-27,upgrade
CLI-000748,Blue,Bronze,2025-10-03,upgrade
CLI-004127,Silver,Bronze,2024-09-25,downgrade
CLI-001812,Silver,Gold,2026-01-14,upgrade
CLI-002118,Silver,Bronze,2025-04-01,downgrade
CLI-001162,Bronze,Blue,2025-07-22,downgrade
CLI-000601,Blue,Bronze,2025-10-29,upgrade
CLI-006428,Bronze,Silver,2024-12-20,upgrade
CLI-001508,Blue,Blue,2025-12-02,downgrade
CLI-002922,Blue,Bronze,2025-02-13,upgrade
CLI-003945,Silver,Gold,2024-07-19,upgrade
CLI-006116,Blue,Bronze,2025-03-29,upgrade
CLI-004464,Gold,Silver,2025-02-10,downgrade
CLI-001353,Bronze,Blue,2025-12-07,downgrade
CLI-001901,Gold,Diamond,2026-03-24,upgrade
CLI-000755,Blue,Bronze,2026-03-17,upgrade
CLI-003667,Silver,Gold,2025-08-08,upgrade
CLI-003184,Diamond,Diamond,2025-02-15,upgrade
CLI-001861,Bronze,Silver,2024-12-20,upgrade
CLI-001753,Bronze,Blue,2025-02-19,downgrade
CLI-004800,Blue,Bronze,2025-02-13,upgrade
CLI-001488,Gold,Diamond,2025-09-24,upgrade
CLI-005512,Blue,Bronze,2025-04-12,upgrade
CLI-006388,Gold,Silver,2025-12-25,downgrade
CLI-004407,Bronze,Blue,2025-01-13,downgrade
CLI-002452,Blue,Bronze,2026-04-02,upgrade
CLI-003836,Blue,Blue,2025-12-05,downgrade
CLI-002855,Bronze,Blue,2026-04-02,downgrade
CLI-004371,Blue,Bronze,2026-02-19,upgrade
CLI-002146,Silver,Gold,2025-12-30,upgrade
CLI-002873,Bronze,Silver,2025-02-04,upgrade
CLI-001894,Bronze,Blue,2024-09-18,downgrade
CLI-001708,Blue,Bronze,2025-03-07,upgrade
CLI-002104,Bronze,Silver,2026-01-06,upgrade
CLI-001371,Bronze,Silver,2025-09-05,upgrade
CLI-005150,Gold,Silver,2026-04-20,downgrade
CLI-005441,Blue,Bronze,2026-04-30,upgrade
CLI-004189,Bronze,Silver,2024-12-24,upgrade
CLI-005446,Blue,Bronze,2026-01-04,upgrade
CLI-005580,Silver,Gold,2025-10-06,upgrade
CLI-004503,Bronze,Blue,2025-06-28,downgrade
CLI-000764,Blue,Blue,2026-01-19,downgrade
CLI-005678,Gold,Diamond,2024-12-28,upgrade
CLI-000891,Blue,Blue,2025-11-06,downgrade
CLI-002662,Silver,Bronze,2025-03-11,downgrade
CLI-000189,Blue,Blue,2025-11-24,downgrade
CLI-006183,Gold,Diamond,2026-04-02,upgrade
CLI-004062,Gold,Silver,2025-03-30,downgrade
CLI-001115,Gold,Silver,2025-07-27,downgrade
CLI-001496,Silver,Gold,2026-01-24,upgrade
CLI-003246,Bronze,Silver,2025-01-14,upgrade
CLI-000211,Bronze,Silver,2025-12-13,upgrade
CLI-000454,Gold,Silver,2024-10-13,downgrade
CLI-001800,Blue,Bronze,2024-09-20,upgrade
CLI-004699,Blue,Bronze,2025-07-30,upgrade
CLI-000829,Blue,Bronze,2026-04-18,upgrade
CLI-003275,Bronze,Blue,2026-04-09,downgrade
CLI-002744,Blue,Bronze,2025-04-12,upgrade
CLI-001579,Bronze,Silver,2025-03-22,upgrade
CLI-003020,Silver,Bronze,2026-04-20,downgrade
CLI-004903,Blue,Blue,2025-04-27,downgrade
CLI-001166,Silver,Gold,2025-07-17,upgrade
CLI-003913,Bronze,Silver,2025-06-09,upgrade
CLI-001107,Silver,Bronze,2026-02-07,downgrade
CLI-006305,Silver,Bronze,2025-02-04,downgrade
CLI-002817,Silver,Bronze,2024-12-02,downgrade
CLI-003116,Diamond,Diamond,2026-01-08,upgrade
CLI-001942,Silver,Gold,2026-01-22,upgrade
CLI-001462,Silver,Bronze,2024-08-17,downgrade
CLI-002134,Silver,Bronze,2026-03-12,downgrade
CLI-000878,Bronze,Silver,2025-05-13,upgrade
CLI-001810,Bronze,Blue,2025-01-20,downgrade
CLI-005513,Blue,Blue,2024-07-23,downgrade
CLI-000087,Bronze,Blue,2025-03-01,downgrade
CLI-000145,Blue,Blue,2025-12-31,downgrade
CLI-003342,Bronze,Blue,2025-09-20,downgrade
CLI-004327,Bronze,Blue,2024-11-14,downgrade
CLI-005817,Blue,Blue,2026-02-03,downgrade
CLI-003441,Silver,Gold,2024-12-24,upgrade
CLI-004301,Diamond,Diamond,2024-08-16,upgrade
CLI-003110,Gold,Diamond,2025-03-21,upgrade
CLI-000226,Blue,Bronze,2024-08-27,upgrade
CLI-005167,Silver,Bronze,2026-06-18,downgrade
CLI-005810,Bronze,Silver,2024-11-16,upgrade
CLI-003194,Gold,Silver,2025-06-28,downgrade
CLI-000961,Bronze,Blue,2024-12-05,downgrade
CLI-004519,Silver,Gold,2024-10-11,upgrade
CLI-005033,Blue,Bronze,2026-02-10,upgrade
CLI-001859,Silver,Bronze,2026-01-19,downgrade
CLI-002866,Gold,Silver,2025-07-15,downgrade
CLI-000932,Bronze,Silver,2026-05-06,upgrade
CLI-002649,Bronze,Blue,2024-09-17,downgrade
CLI-001429,Diamond,Gold,2025-02-01,downgrade
CLI-005263,Blue,Blue,2026-01-23,downgrade
CLI-003004,Bronze,Silver,2024-08-26,upgrade
CLI-002045,Bronze,Blue,2025-11-20,downgrade
CLI-004926,Gold,Silver,2025-06-19,downgrade
CLI-005927,Gold,Diamond,2025-08-07,upgrade
CLI-000018,Silver,Gold,2025-04-20,upgrade
CLI-005354,Blue,Bronze,2025-12-04,upgrade
CLI-005593,Bronze,Silver,2026-02-24,upgrade
CLI-005073,Blue,Bronze,2025-08-20,upgrade
CLI-006317,Blue,Blue,2026-06-12,downgrade
CLI-006015,Gold,Diamond,2026-03-04,upgrade
CLI-002821,Blue,Blue,2025-08-14,downgrade
CLI-005069,Silver,Bronze,2024-08-01,downgrade
CLI-005782,Bronze,Blue,2025-08-23,downgrade
CLI-004209,Bronze,Blue,2024-11-17,downgrade
CLI-004964,Blue,Bronze,2026-06-17,upgrade
CLI-005887,Bronze,Blue,2025-07-21,downgrade
CLI-001587,Blue,Bronze,2025-02-18,upgrade
CLI-001870,Blue,Bronze,2026-05-27,upgrade
CLI-001983,Bronze,Silver,2026-04-25,upgrade
CLI-006070,Silver,Gold,2026-04-12,upgrade
CLI-003753,Silver,Gold,2024-09-10,upgrade
CLI-000166,Silver,Gold,2026-04-26,upgrade
CLI-001620,Blue,Bronze,2025-09-08,upgrade
CLI-000473,Bronze,Silver,2024-08-03,upgrade
CLI-003008,Blue,Blue,2026-05-31,downgrade
CLI-000823,Bronze,Silver,2024-10-23,upgrade
CLI-005722,Blue,Blue,2026-02-10,downgrade
CLI-000335,Blue,Blue,2026-02-03,downgrade
CLI-005720,Blue,Bronze,2025-04-17,upgrade
CLI-004526,Gold,Diamond,2025-04-23,upgrade
CLI-001029,Blue,Bronze,2025-03-03,upgrade
CLI-001186,Bronze,Silver,2026-05-18,upgrade
CLI-002515,Gold,Silver,2025-08-21,downgrade
CLI-005500,Blue,Bronze,2024-08-08,upgrade
CLI-004208,Bronze,Blue,2025-10-26,downgrade
CLI-005042,Bronze,Blue,2025-04-08,downgrade
CLI-001149,Blue,Bronze,2025-03-06,upgrade
CLI-000653,Gold,Diamond,2025-08-03,upgrade
CLI-000702,Blue,Bronze,2026-02-15,upgrade
CLI-004594,Blue,Bronze,2024-12-25,upgrade
CLI-005932,Bronze,Silver,2024-10-08,upgrade
CLI-002430,Bronze,Silver,2025-01-08,upgrade
CLI-000791,Blue,Bronze,2024-10-17,upgrade
CLI-005476,Blue,Bronze,2024-06-29,upgrade
CLI-003976,Blue,Blue,2025-02-25,downgrade
CLI-003095,Silver,Gold,2025-09-16,upgrade
CLI-002757,Silver,Gold,2025-12-05,upgrade
CLI-000036,Blue,Bronze,2025-08-11,upgrade
CLI-003459,Bronze,Blue,2026-02-23,downgrade
CLI-000315,Blue,Blue,2024-08-12,downgrade
CLI-004336,Silver,Gold,2026-06-17,upgrade
CLI-004436,Gold,Diamond,2025-01-27,upgrade
CLI-000279,Gold,Diamond,2024-12-14,upgrade
CLI-005768,Bronze,Silver,2025-03-01,upgrade
CLI-006381,Blue,Blue,2024-09-13,downgrade
CLI-005222,Bronze,Silver,2024-06-29,upgrade
CLI-004159,Silver,Gold,2024-07-16,upgrade
CLI-002215,Blue,Bronze,2025-02-27,upgrade
CLI-000745,Gold,Diamond,2024-07-12,upgrade
CLI-001762,Blue,Bronze,2025-02-18,upgrade
CLI-001463,Blue,Blue,2026-03-26,downgrade
CLI-002963,Silver,Gold,2025-04-15,upgrade
CLI-002879,Silver,Gold,2025-08-17,upgrade
CLI-001595,Blue,Bronze,2025-12-20,upgrade
CLI-000865,Silver,Gold,2024-09-20,upgrade
CLI-003120,Silver,Bronze,2026-06-13,downgrade
CLI-004139,Bronze,Silver,2024-06-29,upgrade
CLI-001495,Bronze,Silver,2026-02-24,upgrade
CLI-004565,Silver,Bronze,2026-05-06,downgrade
CLI-003052,Gold,Diamond,2025-02-04,upgrade
CLI-003172,Silver,Gold,2025-12-20,upgrade
CLI-001325,Gold,Silver,2026-03-07,downgrade
CLI-001991,Blue,Blue,2025-06-05,downgrade
CLI-005796,Bronze,Silver,2025-02-01,upgrade
CLI-005993,Silver,Bronze,2025-06-10,downgrade
CLI-000577,Blue,Bronze,2025-05-11,upgrade
CLI-001246,Bronze,Silver,2025-12-26,upgrade
CLI-004897,Bronze,Silver,2024-07-21,upgrade
CLI-004845,Silver,Bronze,2024-10-06,downgrade
CLI-002566,Blue,Bronze,2024-11-07,upgrade
CLI-002853,Bronze,Silver,2025-12-04,upgrade
CLI-002333,Blue,Blue,2024-06-20,downgrade
CLI-005341,Silver,Gold,2025-06-06,upgrade
CLI-000892,Bronze,Blue,2024-07-25,downgrade
CLI-006212,Silver,Bronze,2024-12-17,downgrade
CLI-006441,Blue,Bronze,2024-08-13,upgrade
CLI-003419,Gold,Diamond,2026-05-14,upgrade
CLI-000081,Blue,Bronze,2025-06-30,upgrade
CLI-004343,Bronze,Silver,2026-02-23,upgrade
CLI-001282,Diamond,Gold,2025-04-28,downgrade
CLI-006315,Silver,Bronze,2025-08-13,downgrade
CLI-006159,Bronze,Blue,2025-11-26,downgrade
CLI-006390,Blue,Bronze,2025-05-12,upgrade
CLI-006013,Bronze,Blue,2025-08-30,downgrade
CLI-000465,Silver,Gold,2025-08-21,upgrade
CLI-006283,Silver,Bronze,2026-02-15,downgrade
CLI-003362,Gold,Diamond,2026-03-22,upgrade
CLI-006190,Bronze,Silver,2025-12-09,upgrade
CLI-005461,Blue,Bronze,2025-08-19,upgrade
CLI-006211,Blue,Bronze,2024-08-31,upgrade
CLI-002775,Bronze,Silver,2025-11-18,upgrade
CLI-006382,Blue,Blue,2026-03-31,downgrade
CLI-000127,Gold,Silver,2025-02-28,downgrade
CLI-003385,Blue,Blue,2026-01-05,downgrade
CLI-006291,Blue,Bronze,2024-07-23,upgrade
CLI-001490,Bronze,Blue,2025-05-21,downgrade
CLI-003645,Bronze,Silver,2025-12-30,upgrade
CLI-003014,Bronze,Silver,2026-04-08,upgrade
CLI-002493,Blue,Blue,2024-09-01,downgrade
CLI-000752,Blue,Blue,2025-03-02,downgrade
CLI-004222,Gold,Diamond,2026-05-13,upgrade
CLI-002453,Bronze,Silver,2025-09-07,upgrade
CLI-000336,Blue,Bronze,2025-10-10,upgrade
CLI-003283,Bronze,Blue,2025-08-17,downgrade
CLI-004890,Gold,Silver,2024-06-28,downgrade
CLI-000417,Blue,Blue,2024-07-27,downgrade
CLI-000917,Silver,Bronze,2025-12-22,downgrade
CLI-002051,Silver,Bronze,2025-07-28,downgrade
CLI-000931,Bronze,Blue,2025-10-08,downgrade
CLI-001843,Blue,Bronze,2024-12-31,upgrade
CLI-000107,Bronze,Silver,2026-01-09,upgrade
CLI-004950,Blue,Bronze,2024-10-30,upgrade
CLI-004698,Silver,Bronze,2025-08-12,downgrade
CLI-000254,Gold,Diamond,2024-08-31,upgrade
CLI-002130,Blue,Bronze,2024-09-24,upgrade
CLI-000724,Bronze,Silver,2026-01-03,upgrade
CLI-003045,Bronze,Silver,2024-09-16,upgrade
CLI-003047,Silver,Gold,2026-05-07,upgrade
CLI-003828,Gold,Diamond,2025-07-13,upgrade
CLI-001585,Silver,Bronze,2025-04-15,downgrade
CLI-000447,Blue,Blue,2026-03-21,downgrade
CLI-000884,Bronze,Blue,2025-08-05,downgrade
CLI-000009,Blue,Blue,2025-03-18,downgrade
CLI-004817,Blue,Bronze,2025-05-06,upgrade
CLI-005000,Blue,Bronze,2025-07-19,upgrade
CLI-000921,Blue,Bronze,2026-05-26,upgrade
CLI-000595,Blue,Bronze,2026-01-03,upgrade
CLI-005005,Silver,Bronze,2025-06-28,downgrade
CLI-002374,Bronze,Silver,2025-07-05,upgrade
CLI-000266,Bronze,Silver,2026-04-27,upgrade
CLI-005790,Bronze,Silver,2026-06-07,upgrade
CLI-006404,Bronze,Blue,2025-08-06,downgrade
CLI-000710,Silver,Gold,2026-02-10,upgrade
CLI-002041,Silver,Bronze,2025-11-15,downgrade
CLI-004862,Bronze,Blue,2025-10-22,downgrade
CLI-005667,Silver,Bronze,2026-03-18,downgrade
CLI-004130,Diamond,Gold,2025-11-24,downgrade
CLI-002216,Diamond,Gold,2024-10-17,downgrade
CLI-002449,Silver,Gold,2024-12-24,upgrade
CLI-003963,Silver,Bronze,2026-06-11,downgrade
CLI-005418,Blue,Bronze,2025-11-24,upgrade
CLI-000552,Blue,Blue,2025-11-12,downgrade
CLI-001224,Gold,Diamond,2025-11-11,upgrade
CLI-006234,Blue,Bronze,2024-07-21,upgrade
CLI-005202,Silver,Gold,2025-11-10,upgrade
CLI-004141,Silver,Gold,2026-04-19,upgrade
CLI-000767,Blue,Bronze,2025-12-17,upgrade
CLI-004682,Gold,Diamond,2026-03-20,upgrade
CLI-004296,Silver,Gold,2024-11-17,upgrade
CLI-003335,Blue,Bronze,2026-06-06,upgrade
CLI-005724,Blue,Bronze,2025-01-20,upgrade
CLI-002989,Gold,Silver,2025-02-02,downgrade
CLI-000899,Silver,Gold,2024-07-05,upgrade
CLI-003584,Blue,Blue,2025-03-18,downgrade
CLI-005231,Blue,Bronze,2024-07-20,upgrade
CLI-004173,Gold,Diamond,2024-07-02,upgrade
CLI-004947,Gold,Silver,2024-12-30,downgrade
CLI-004419,Silver,Gold,2025-04-30,upgrade
CLI-004735,Gold,Diamond,2024-08-05,upgrade
CLI-001517,Bronze,Silver,2026-05-27,upgrade
CLI-006424,Bronze,Blue,2025-06-28,downgrade
CLI-005450,Gold,Diamond,2025-01-23,upgrade
CLI-003056,Blue,Bronze,2024-07-10,upgrade
CLI-005013,Silver,Bronze,2025-01-21,downgrade
CLI-003486,Bronze,Silver,2024-11-15,upgrade
CLI-006266,Blue,Blue,2025-10-09,downgrade
CLI-003413,Blue,Bronze,2024-10-16,upgrade
CLI-003524,Gold,Silver,2025-10-11,downgrade
CLI-005221,Silver,Gold,2025-03-28,upgrade
CLI-003862,Bronze,Blue,2025-05-23,downgrade
CLI-004314,Silver,Bronze,2025-12-16,downgrade
CLI-000115,Blue,Blue,2025-04-12,downgrade
CLI-004335,Bronze,Blue,2025-06-28,downgrade
CLI-002914,Bronze,Silver,2025-08-28,upgrade
CLI-005496,Blue,Bronze,2026-04-18,upgrade
CLI-003214,Silver,Bronze,2024-08-09,downgrade
CLI-004535,Bronze,Silver,2026-06-16,upgrade
CLI-004035,Blue,Blue,2024-12-27,downgrade
CLI-006086,Bronze,Blue,2026-02-26,downgrade
CLI-005122,Blue,Bronze,2024-10-15,upgrade
CLI-004149,Bronze,Silver,2026-05-10,upgrade
CLI-001482,Blue,Bronze,2025-10-08,upgrade
CLI-003448,Bronze,Silver,2024-07-07,upgrade
CLI-005816,Blue,Bronze,2025-01-30,upgrade
CLI-001480,Gold,Silver,2025-03-28,downgrade
CLI-005506,Silver,Gold,2024-08-14,upgrade
CLI-002732,Bronze,Silver,2026-04-26,upgrade
CLI-003942,Gold,Diamond,2026-02-22,upgrade
CLI-005661,Gold,Diamond,2025-12-27,upgrade
CLI-003583,Blue,Bronze,2024-08-21,upgrade
CLI-005444,Blue,Blue,2026-01-06,downgrade
CLI-004829,Bronze,Blue,2025-08-09,downgrade
CLI-000909,Silver,Gold,2024-10-02,upgrade
CLI-003349,Bronze,Silver,2024-08-27,upgrade
CLI-005484,Bronze,Silver,2024-11-11,upgrade
CLI-003661,Blue,Bronze,2024-10-02,upgrade
CLI-005144,Gold,Diamond,2025-12-01,upgrade
CLI-005983,Blue,Blue,2025-12-12,downgrade
CLI-004242,Bronze,Blue,2026-05-23,downgrade
CLI-005012,Diamond,Diamond,2024-09-01,upgrade
CLI-001955,Silver,Bronze,2026-04-21,downgrade
CLI-004409,Silver,Gold,2025-12-23,upgrade
CLI-001040,Silver,Bronze,2025-10-24,downgrade
CLI-002361,Bronze,Blue,2025-05-16,downgrade
CLI-001233,Gold,Diamond,2024-10-08,upgrade
CLI-000606,Blue,Bronze,2025-06-20,upgrade
CLI-005414,Blue,Blue,2025-05-09,downgrade
CLI-004566,Blue,Bronze,2024-08-09,upgrade
CLI-002748,Blue,Blue,2025-05-18,downgrade
CLI-006218,Bronze,Silver,2025-11-24,upgrade
CLI-004435,Blue,Bronze,2025-01-26,upgrade
CLI-005447,Silver,Gold,2025-09-04,upgrade
CLI-004585,Blue,Blue,2026-06-07,downgrade
CLI-003549,Bronze,Blue,2024-07-19,downgrade
CLI-004475,Silver,Bronze,2024-08-18,downgrade
CLI-000725,Gold,Diamond,2025-05-13,upgrade
CLI-003099,Bronze,Silver,2025-07-25,upgrade
CLI-003405,Bronze,Silver,2025-02-17,upgrade
CLI-000478,Blue,Blue,2025-12-06,downgrade
CLI-005356,Blue,Bronze,2025-03-02,upgrade
CLI-003608,Gold,Silver,2026-01-30,downgrade
CLI-003364,Blue,Bronze,2025-10-27,upgrade
CLI-000643,Blue,Bronze,2025-07-12,upgrade
CLI-001248,Bronze,Blue,2025-10-16,downgrade
CLI-002327,Diamond,Diamond,2024-06-28,upgrade
CLI-001147,Silver,Bronze,2024-09-22,downgrade
CLI-004363,Silver,Bronze,2025-09-03,downgrade
CLI-004410,Blue,Blue,2026-05-02,downgrade
CLI-002774,Silver,Bronze,2026-05-28,downgrade
CLI-003760,Gold,Silver,2024-09-14,downgrade
CLI-000257,Gold,Silver,2025-01-01,downgrade
CLI-001264,Bronze,Blue,2025-03-23,downgrade
CLI-000138,Gold,Diamond,2024-08-02,upgrade
CLI-000736,Blue,Bronze,2025-12-01,upgrade
CLI-001240,Gold,Silver,2025-05-19,downgrade
CLI-001769,Blue,Blue,2026-05-02,downgrade
CLI-003216,Blue,Blue,2026-03-15,downgrade
CLI-004617,Blue,Bronze,2025-01-13,upgrade
CLI-005797,Blue,Blue,2026-02-22,downgrade
CLI-004304,Bronze,Blue,2025-09-14,downgrade
CLI-000430,Diamond,Gold,2025-07-06,downgrade
CLI-005098,Gold,Silver,2025-01-04,downgrade
CLI-001438,Diamond,Diamond,2025-10-24,upgrade
